id,url,text,source,retweetCount,replyCount,likeCount,quoteCount,viewCount,createdAt
1914653015270637618,https://x.com/elonmusk/status/1914653015270637618,Separate audio system for the rear screen,Twitter for iPhone,2656,2104,24004,119,7286640,Tue Apr 22 12:10:26 +0000 2025
1914652849432154143,https://x.com/elonmusk/status/1914652849432154143,RT @ada_lluch: Melania Trump looked stunning as always. 🥰 https://t.co/jIFpLsarCH,Twitter for iPhone,1263,858,13623,66,829907,Tue Apr 22 12:09:46 +0000 2025
1914647843031089637,https://x.com/elonmusk/status/1914647843031089637,Exactly,Twitter for iPhone,2526,3160,28646,160,15393677,Tue Apr 22 11:49:52 +0000 2025
1914647643285868571,https://x.com/elonmusk/status/1914647643285868571,Yes,Twitter for iPhone,8669,1950,53633,145,17387676,Tue Apr 22 11:49:05 +0000 2025
1914647570921541865,https://x.com/elonmusk/status/1914647570921541865,"RT @cb_doge: Happy Earth Day 🌎

 https://t.co/KXxYOrk524",Twitter for iPhone,959,607,6139,63,784699,Tue Apr 22 11:48:47 +0000 2025
1914647121690587182,https://x.com/elonmusk/status/1914647121690587182,RT @VigilantFox: NEW: Scott Jennings says Larry David’s attack on Bill Maher wasn’t about dinner—it was the modern left threatening the nex…,Twitter for iPhone,5747,821,28513,238,1626832,Tue Apr 22 11:47:00 +0000 2025
1914646787811389579,https://x.com/elonmusk/status/1914646787811389579,RT @TheChiefNerd: “Dr. Anthony Fauci’s fortune doubled — hitting about $15 million — between early 2019 and the end of 2023 over the course…,Twitter for iPhone,2382,574,8253,153,838080,Tue Apr 22 11:45:41 +0000 2025
1914644015187738827,https://x.com/elonmusk/status/1914644015187738827,https://t.co/kslsp7oJ7g,Twitter for iPhone,7950,3934,45388,458,9831509,Tue Apr 22 11:34:40 +0000 2025
1914641850171801645,https://x.com/elonmusk/status/1914641850171801645,"RT @stillgray: Britain is now arresting up to 30 people every day for online speech-related offenses. No jokes, no memes, no criticism that…",Twitter for iPhone,2176,962,6885,199,785791,Tue Apr 22 11:26:04 +0000 2025
1914640691633717284,https://x.com/elonmusk/status/1914640691633717284,Low birth rates will end civilization,Twitter for iPhone,7630,10693,41853,1111,13931034,Tue Apr 22 11:21:27 +0000 2025
1914639098045661304,https://x.com/elonmusk/status/1914639098045661304,"RT @Geiger_Capital: This was happening every day for 3+ years…

They were mass released into the US. There was no outcry for “case by case”…",Twitter for iPhone,2236,430,9925,109,911008,Tue Apr 22 11:15:07 +0000 2025
1914638112954732730,https://x.com/elonmusk/status/1914638112954732730,"RT @skscartoon: The idea of granting the same due process to illegal aliens as American citizens before deportation is nonsensical.

It's l…",Twitter for iPhone,3273,569,15857,126,763413,Tue Apr 22 11:11:13 +0000 2025
1914637964191191096,https://x.com/elonmusk/status/1914637964191191096,"RT @MarioNawfal: JOE ROGAN: TESLA FSD IS WILD - MY CAR JUST DRIVES ITSELF

“I put in my address, press these buttons, and it just takes off…",Twitter for iPhone,693,258,3850,35,1167525,Tue Apr 22 11:10:37 +0000 2025
1914637857274163627,https://x.com/elonmusk/status/1914637857274163627,💯,Twitter for iPhone,19964,10883,111457,1072,12169579,Tue Apr 22 11:10:12 +0000 2025
1914701439974129789,https://x.com/elonmusk/status/1914701439974129789,Best economist ever,Twitter for iPhone,3713,2426,35578,213,5897481,Tue Apr 22 15:22:51 +0000 2025
1914685989173215283,https://x.com/elonmusk/status/1914685989173215283,RT @SpaceX: Three launches from all three launch pads in California and Florida in ~36 hours https://t.co/RATecwb66c,Twitter for iPhone,1162,691,7617,53,859841,Tue Apr 22 14:21:27 +0000 2025
1914685540961501358,https://x.com/elonmusk/status/1914685540961501358,"RT @Starlink: Starlink keeps you connected as you explore our planet 🛰️🌏❤️

Happy Earth Day! https://t.co/Mv8Ifj55Mk",Twitter for iPhone,1042,547,6702,53,755815,Tue Apr 22 14:19:40 +0000 2025
1914685407146487870,https://x.com/elonmusk/status/1914685407146487870,"RT @MarioNawfal: 🚨🇺🇸 SCOTT JENNINGS: BIG NUCLEAR FAMILIES ARE UNDER ASSAULT—WE NEED MORE CHILDREN TO MAKE AMERICA GREAT

""Fertility rates h…",Twitter for iPhone,758,533,4104,50,1292367,Tue Apr 22 14:19:08 +0000 2025
1914685277773222134,https://x.com/elonmusk/status/1914685277773222134,"RT @TobyPhln: Here's a brain dump of things I worry/think about atm.

AI is getting pretty good, but human-AI bandwidth is excruciatingly l…",Twitter for iPhone,299,159,1688,11,651014,Tue Apr 22 14:18:38 +0000 2025
1914654162324701203,https://x.com/elonmusk/status/1914654162324701203,"RT @MarioNawfal: 🇺🇸VIVEK: UNELECTED BUREAUCRATS ARE THE “FOURTH BRANCH” THE FOUNDERS NEVER WANTED

Running for Ohio governor, Vivek Ramaswa…",Twitter for iPhone,1442,368,6978,44,1415879,Tue Apr 22 12:14:59 +0000 2025
1914653015270637618,https://x.com/elonmusk/status/1914653015270637618,Separate audio system for the rear screen,Twitter for iPhone,2656,2104,24005,119,7286640,Tue Apr 22 12:10:26 +0000 2025
1914652849432154143,https://x.com/elonmusk/status/1914652849432154143,RT @ada_lluch: Melania Trump looked stunning as always. 🥰 https://t.co/jIFpLsarCH,Twitter for iPhone,1263,858,13625,66,829907,Tue Apr 22 12:09:46 +0000 2025
1914647843031089637,https://x.com/elonmusk/status/1914647843031089637,Exactly,Twitter for iPhone,2526,3161,28648,160,15365306,Tue Apr 22 11:49:52 +0000 2025
1914647643285868571,https://x.com/elonmusk/status/1914647643285868571,Yes,Twitter for iPhone,8669,1951,53636,145,17387676,Tue Apr 22 11:49:05 +0000 2025
1914647570921541865,https://x.com/elonmusk/status/1914647570921541865,"RT @cb_doge: Happy Earth Day 🌎

 https://t.co/KXxYOrk524",Twitter for iPhone,959,607,6139,63,784699,Tue Apr 22 11:48:47 +0000 2025
1914647121690587182,https://x.com/elonmusk/status/1914647121690587182,RT @VigilantFox: NEW: Scott Jennings says Larry David’s attack on Bill Maher wasn’t about dinner—it was the modern left threatening the nex…,Twitter for iPhone,5747,821,28514,238,1626832,Tue Apr 22 11:47:00 +0000 2025
1914646787811389579,https://x.com/elonmusk/status/1914646787811389579,RT @TheChiefNerd: “Dr. Anthony Fauci’s fortune doubled — hitting about $15 million — between early 2019 and the end of 2023 over the course…,Twitter for iPhone,2382,574,8253,153,838392,Tue Apr 22 11:45:41 +0000 2025
1914644015187738827,https://x.com/elonmusk/status/1914644015187738827,https://t.co/kslsp7oJ7g,Twitter for iPhone,7950,3934,45391,458,9831509,Tue Apr 22 11:34:40 +0000 2025
1914641850171801645,https://x.com/elonmusk/status/1914641850171801645,"RT @stillgray: Britain is now arresting up to 30 people every day for online speech-related offenses. No jokes, no memes, no criticism that…",Twitter for iPhone,2176,962,6885,199,786044,Tue Apr 22 11:26:04 +0000 2025
1914640691633717284,https://x.com/elonmusk/status/1914640691633717284,Low birth rates will end civilization,Twitter for iPhone,7631,10693,41859,1111,13950422,Tue Apr 22 11:21:27 +0000 2025
1914639098045661304,https://x.com/elonmusk/status/1914639098045661304,"RT @Geiger_Capital: This was happening every day for 3+ years…

They were mass released into the US. There was no outcry for “case by case”…",Twitter for iPhone,2236,430,9925,109,911008,Tue Apr 22 11:15:07 +0000 2025
1914638112954732730,https://x.com/elonmusk/status/1914638112954732730,"RT @skscartoon: The idea of granting the same due process to illegal aliens as American citizens before deportation is nonsensical.

It's l…",Twitter for iPhone,3273,569,15857,126,763413,Tue Apr 22 11:11:13 +0000 2025
1914637964191191096,https://x.com/elonmusk/status/1914637964191191096,"RT @MarioNawfal: JOE ROGAN: TESLA FSD IS WILD - MY CAR JUST DRIVES ITSELF

“I put in my address, press these buttons, and it just takes off…",Twitter for iPhone,693,258,3850,35,1167525,Tue Apr 22 11:10:37 +0000 2025
1914637857274163627,https://x.com/elonmusk/status/1914637857274163627,💯,Twitter for iPhone,19968,10884,111467,1072,12169579,Tue Apr 22 11:10:12 +0000 2025
1914701439974129789,https://x.com/elonmusk/status/1914701439974129789,Best economist ever,Twitter for iPhone,3723,2426,35586,345,5916889,Tue Apr 22 15:22:51 +0000 2025
1914685989173215283,https://x.com/elonmusk/status/1914685989173215283,RT @SpaceX: Three launches from all three launch pads in California and Florida in ~36 hours https://t.co/RATecwb66c,Twitter for iPhone,1163,691,7619,54,859752,Tue Apr 22 14:21:27 +0000 2025
1914685540961501358,https://x.com/elonmusk/status/1914685540961501358,"RT @Starlink: Starlink keeps you connected as you explore our planet 🛰️🌏❤️

Happy Earth Day! https://t.co/Mv8Ifj55Mk",Twitter for iPhone,1042,547,6703,53,755518,Tue Apr 22 14:19:40 +0000 2025
1914685407146487870,https://x.com/elonmusk/status/1914685407146487870,"RT @MarioNawfal: 🚨🇺🇸 SCOTT JENNINGS: BIG NUCLEAR FAMILIES ARE UNDER ASSAULT—WE NEED MORE CHILDREN TO MAKE AMERICA GREAT

""Fertility rates h…",Twitter for iPhone,758,533,4104,56,1293018,Tue Apr 22 14:19:08 +0000 2025
1914685277773222134,https://x.com/elonmusk/status/1914685277773222134,"RT @TobyPhln: Here's a brain dump of things I worry/think about atm.

AI is getting pretty good, but human-AI bandwidth is excruciatingly l…",Twitter for iPhone,300,159,1698,12,651385,Tue Apr 22 14:18:38 +0000 2025
1914654162324701203,https://x.com/elonmusk/status/1914654162324701203,"RT @MarioNawfal: 🇺🇸VIVEK: UNELECTED BUREAUCRATS ARE THE “FOURTH BRANCH” THE FOUNDERS NEVER WANTED

Running for Ohio governor, Vivek Ramaswa…",Twitter for iPhone,1442,368,6979,44,1415574,Tue Apr 22 12:14:59 +0000 2025
1914653015270637618,https://x.com/elonmusk/status/1914653015270637618,Separate audio system for the rear screen,Twitter for iPhone,2656,2104,24007,120,7291801,Tue Apr 22 12:10:26 +0000 2025
1914652849432154143,https://x.com/elonmusk/status/1914652849432154143,RT @ada_lluch: Melania Trump looked stunning as always. 🥰 https://t.co/jIFpLsarCH,Twitter for iPhone,1263,858,13627,66,829656,Tue Apr 22 12:09:46 +0000 2025
1914647843031089637,https://x.com/elonmusk/status/1914647843031089637,Exactly,Twitter for iPhone,2527,3161,28650,160,15393895,Tue Apr 22 11:49:52 +0000 2025
1914647643285868571,https://x.com/elonmusk/status/1914647643285868571,Yes,Twitter for iPhone,8669,1951,53634,145,17393975,Tue Apr 22 11:49:05 +0000 2025
1914647570921541865,https://x.com/elonmusk/status/1914647570921541865,"RT @cb_doge: Happy Earth Day 🌎

 https://t.co/KXxYOrk524",Twitter for iPhone,959,607,6139,63,784595,Tue Apr 22 11:48:47 +0000 2025
1914647121690587182,https://x.com/elonmusk/status/1914647121690587182,RT @VigilantFox: NEW: Scott Jennings says Larry David’s attack on Bill Maher wasn’t about dinner—it was the modern left threatening the nex…,Twitter for iPhone,5744,821,28514,238,1626901,Tue Apr 22 11:47:00 +0000 2025
1914646787811389579,https://x.com/elonmusk/status/1914646787811389579,RT @TheChiefNerd: “Dr. Anthony Fauci’s fortune doubled — hitting about $15 million — between early 2019 and the end of 2023 over the course…,Twitter for iPhone,2383,574,8253,153,838275,Tue Apr 22 11:45:41 +0000 2025
1914644015187738827,https://x.com/elonmusk/status/1914644015187738827,https://t.co/kslsp7oJ7g,Twitter for iPhone,7953,3934,45399,465,9832404,Tue Apr 22 11:34:40 +0000 2025
1914641850171801645,https://x.com/elonmusk/status/1914641850171801645,"RT @stillgray: Britain is now arresting up to 30 people every day for online speech-related offenses. No jokes, no memes, no criticism that…",Twitter for iPhone,2176,962,6885,202,785835,Tue Apr 22 11:26:04 +0000 2025
1914640691633717284,https://x.com/elonmusk/status/1914640691633717284,Low birth rates will end civilization,Twitter for iPhone,7637,10694,41865,1122,13958495,Tue Apr 22 11:21:27 +0000 2025
1914639098045661304,https://x.com/elonmusk/status/1914639098045661304,"RT @Geiger_Capital: This was happening every day for 3+ years…

They were mass released into the US. There was no outcry for “case by case”…",Twitter for iPhone,2236,430,9924,109,911026,Tue Apr 22 11:15:07 +0000 2025
1914638112954732730,https://x.com/elonmusk/status/1914638112954732730,"RT @skscartoon: The idea of granting the same due process to illegal aliens as American citizens before deportation is nonsensical.

It's l…",Twitter for iPhone,3273,569,15857,126,763538,Tue Apr 22 11:11:13 +0000 2025
1914637964191191096,https://x.com/elonmusk/status/1914637964191191096,"RT @MarioNawfal: JOE ROGAN: TESLA FSD IS WILD - MY CAR JUST DRIVES ITSELF

“I put in my address, press these buttons, and it just takes off…",Twitter for iPhone,693,258,3850,35,1167566,Tue Apr 22 11:10:37 +0000 2025
1914637857274163627,https://x.com/elonmusk/status/1914637857274163627,💯,Twitter for iPhone,19971,10884,111479,1083,12164375,Tue Apr 22 11:10:12 +0000 2025
1914701439974129789,https://x.com/elonmusk/status/1914701439974129789,Best economist ever,Twitter for iPhone,3716,2427,35601,213,5922689,Tue Apr 22 15:22:51 +0000 2025
1914685989173215283,https://x.com/elonmusk/status/1914685989173215283,RT @SpaceX: Three launches from all three launch pads in California and Florida in ~36 hours https://t.co/RATecwb66c,Twitter for iPhone,1163,691,7619,53,859841,Tue Apr 22 14:21:27 +0000 2025
1914685540961501358,https://x.com/elonmusk/status/1914685540961501358,"RT @Starlink: Starlink keeps you connected as you explore our planet 🛰️🌏❤️

Happy Earth Day! https://t.co/Mv8Ifj55Mk",Twitter for iPhone,1042,547,6705,53,755815,Tue Apr 22 14:19:40 +0000 2025
1914685407146487870,https://x.com/elonmusk/status/1914685407146487870,"RT @MarioNawfal: 🚨🇺🇸 SCOTT JENNINGS: BIG NUCLEAR FAMILIES ARE UNDER ASSAULT—WE NEED MORE CHILDREN TO MAKE AMERICA GREAT

""Fertility rates h…",Twitter for iPhone,758,533,4104,50,1293497,Tue Apr 22 14:19:08 +0000 2025
1914685277773222134,https://x.com/elonmusk/status/1914685277773222134,"RT @TobyPhln: Here's a brain dump of things I worry/think about atm.

AI is getting pretty good, but human-AI bandwidth is excruciatingly l…",Twitter for iPhone,299,159,1689,11,651725,Tue Apr 22 14:18:38 +0000 2025
1914654162324701203,https://x.com/elonmusk/status/1914654162324701203,"RT @MarioNawfal: 🇺🇸VIVEK: UNELECTED BUREAUCRATS ARE THE “FOURTH BRANCH” THE FOUNDERS NEVER WANTED

Running for Ohio governor, Vivek Ramaswa…",Twitter for iPhone,1442,368,6979,44,1415879,Tue Apr 22 12:14:59 +0000 2025
1914653015270637618,https://x.com/elonmusk/status/1914653015270637618,Separate audio system for the rear screen,Twitter for iPhone,2656,2104,24010,119,7286640,Tue Apr 22 12:10:26 +0000 2025
1914652849432154143,https://x.com/elonmusk/status/1914652849432154143,RT @ada_lluch: Melania Trump looked stunning as always. 🥰 https://t.co/jIFpLsarCH,Twitter for iPhone,1264,858,13627,66,829907,Tue Apr 22 12:09:46 +0000 2025
1914647843031089637,https://x.com/elonmusk/status/1914647843031089637,Exactly,Twitter for iPhone,2527,3161,28654,160,15393677,Tue Apr 22 11:49:52 +0000 2025
1914647643285868571,https://x.com/elonmusk/status/1914647643285868571,Yes,Twitter for iPhone,8670,1951,53653,145,17387676,Tue Apr 22 11:49:05 +0000 2025
1914647570921541865,https://x.com/elonmusk/status/1914647570921541865,"RT @cb_doge: Happy Earth Day 🌎

 https://t.co/KXxYOrk524",Twitter for iPhone,959,607,6140,63,784699,Tue Apr 22 11:48:47 +0000 2025
1914647121690587182,https://x.com/elonmusk/status/1914647121690587182,RT @VigilantFox: NEW: Scott Jennings says Larry David’s attack on Bill Maher wasn’t about dinner—it was the modern left threatening the nex…,Twitter for iPhone,5747,821,28515,238,1626832,Tue Apr 22 11:47:00 +0000 2025
1914646787811389579,https://x.com/elonmusk/status/1914646787811389579,RT @TheChiefNerd: “Dr. Anthony Fauci’s fortune doubled — hitting about $15 million — between early 2019 and the end of 2023 over the course…,Twitter for iPhone,2382,574,8253,153,838392,Tue Apr 22 11:45:41 +0000 2025
1914644015187738827,https://x.com/elonmusk/status/1914644015187738827,https://t.co/kslsp7oJ7g,Twitter for iPhone,7951,3934,45402,458,9817007,Tue Apr 22 11:34:40 +0000 2025
1914641850171801645,https://x.com/elonmusk/status/1914641850171801645,"RT @stillgray: Britain is now arresting up to 30 people every day for online speech-related offenses. No jokes, no memes, no criticism that…",Twitter for iPhone,2176,962,6885,199,786044,Tue Apr 22 11:26:04 +0000 2025
1914640691633717284,https://x.com/elonmusk/status/1914640691633717284,Low birth rates will end civilization,Twitter for iPhone,7637,10695,41871,1112,13969907,Tue Apr 22 11:21:27 +0000 2025
1914639098045661304,https://x.com/elonmusk/status/1914639098045661304,"RT @Geiger_Capital: This was happening every day for 3+ years…

They were mass released into the US. There was no outcry for “case by case”…",Twitter for iPhone,2236,430,9925,109,911008,Tue Apr 22 11:15:07 +0000 2025
1914638112954732730,https://x.com/elonmusk/status/1914638112954732730,"RT @skscartoon: The idea of granting the same due process to illegal aliens as American citizens before deportation is nonsensical.

It's l…",Twitter for iPhone,3273,569,15857,126,763616,Tue Apr 22 11:11:13 +0000 2025
1914637964191191096,https://x.com/elonmusk/status/1914637964191191096,"RT @MarioNawfal: JOE ROGAN: TESLA FSD IS WILD - MY CAR JUST DRIVES ITSELF

“I put in my address, press these buttons, and it just takes off…",Twitter for iPhone,693,258,3850,35,1167525,Tue Apr 22 11:10:37 +0000 2025
1914637857274163627,https://x.com/elonmusk/status/1914637857274163627,💯,Twitter for iPhone,19973,10884,111488,1072,12169579,Tue Apr 22 11:10:12 +0000 2025
1914701439974129789,https://x.com/elonmusk/status/1914701439974129789,Best economist ever,Twitter for iPhone,3724,2427,35613,345,5916889,Tue Apr 22 15:22:51 +0000 2025
1914685989173215283,https://x.com/elonmusk/status/1914685989173215283,RT @SpaceX: Three launches from all three launch pads in California and Florida in ~36 hours https://t.co/RATecwb66c,Twitter for iPhone,1163,691,7620,54,859752,Tue Apr 22 14:21:27 +0000 2025
1914685540961501358,https://x.com/elonmusk/status/1914685540961501358,"RT @Starlink: Starlink keeps you connected as you explore our planet 🛰️🌏❤️

Happy Earth Day! https://t.co/Mv8Ifj55Mk",Twitter for iPhone,1042,547,6705,53,755518,Tue Apr 22 14:19:40 +0000 2025
1914685407146487870,https://x.com/elonmusk/status/1914685407146487870,"RT @MarioNawfal: 🚨🇺🇸 SCOTT JENNINGS: BIG NUCLEAR FAMILIES ARE UNDER ASSAULT—WE NEED MORE CHILDREN TO MAKE AMERICA GREAT

""Fertility rates h…",Twitter for iPhone,758,533,4104,56,1293018,Tue Apr 22 14:19:08 +0000 2025
1914685277773222134,https://x.com/elonmusk/status/1914685277773222134,"RT @TobyPhln: Here's a brain dump of things I worry/think about atm.

AI is getting pretty good, but human-AI bandwidth is excruciatingly l…",Twitter for iPhone,300,159,1699,12,651385,Tue Apr 22 14:18:38 +0000 2025
1914654162324701203,https://x.com/elonmusk/status/1914654162324701203,"RT @MarioNawfal: 🇺🇸VIVEK: UNELECTED BUREAUCRATS ARE THE “FOURTH BRANCH” THE FOUNDERS NEVER WANTED

Running for Ohio governor, Vivek Ramaswa…",Twitter for iPhone,1442,368,6979,44,1416157,Tue Apr 22 12:14:59 +0000 2025
1914653015270637618,https://x.com/elonmusk/status/1914653015270637618,Separate audio system for the rear screen,Twitter for iPhone,2656,2104,24013,120,7291801,Tue Apr 22 12:10:26 +0000 2025
